Company Name,Link,Region,Address,Street,Location,ZipCode,City
AE Projects,https://www.ae.be/en/,Flanders,"Interleuvenlaan 27/B, 3001 Leuven",Interleuvenlaan 27/B,3001 Leuven,3001,Leuven
Agilytic,http://www.agilytic.be,Wallonia,"Rue F. Dubois 2, 1310 La Hulpe",Rue F. Dubois 2,1310 La Hulpe,1310,La Hulpe
Aptus,https://www.aptus.be/#,Flanders,"Meensesteenweg 449, 8501 Kortrijk",Meensesteenweg 449,8501 Kortrijk,8501,Kortrijk
Arinti,https://arinti.ai/,Flanders,"Duigemhofstraat 101, 3020 Herent",Duigemhofstraat 101,3020 Herent,3020,Herent
Around Media,https://www.around.media/,Flanders,"Adres: Kortrijksesteenweg 1127/0002, 9051, 9000 Gent",Adres: Kortrijksesteenweg 1127/0002,"9051, 9000 Gent","9051,",9000 Gent
B12 Consulting,https://www.b12-consulting.com/,Wallonia,"Boucle Odon Godart, 2, 1348, Ottignies-Louvain-la-Neuve",Boucle Odon Godart,"2, 1348, Ottignies-Louvain-la-Neuve","2,","1348, Ottignies-Louvain-la-Neuve"
Blendr.io,https://www.blendr.io/,Flanders,"Grauwpoort 1, 9000 Gent",Grauwpoort 1,9000 Gent,9000,Gent
BOBUP,http://www.bobup.be,Brussels,"Rue de Ransbeek 230, 1120 Bruxelles",Rue de Ransbeek 230,1120 Bruxelles,1120,Bruxelles
Boltzmann,http://www.boltzmann.be,Flanders,"Gaston Crommenlaan 12, 9031 Gent",Gaston Crommenlaan 12,9031 Gent,9031,Gent
Brainjar,http://www.brainjar.ai,Flanders,"Gaston Geenslaan 11, 3001 Leuven",Gaston Geenslaan 11,3001 Leuven,3001,Leuven
Brainstorm Consulting,https://www.bstorm.be/,Wallonia,"Rue du Bosquet 7, 1348 Ottignies-Louvain-la-Neuve",Rue du Bosquet 7,1348 Ottignies-Louvain-la-Neuve,1348,Ottignies-Louvain-la-Neuve
Calculus,https://www.calculus.group/?lang=fr,Flanders,"Kempenseweg 12, 3690 Zutendaal",Kempenseweg 12,3690 Zutendaal,3690,Zutendaal
Chiveo,http://www.chiveo.be/,Wallonia,"Liege Airport Business Park, Rue St Exupéry 17, 4460 Grâce-Hollogne",Liege Airport Business Park,"Rue St Exupéry 17, 4460 Grâce-Hollogne",Rue,"St Exupéry 17, 4460 Grâce-Hollogne"
Comexis Partners,https://comexis.net/,Wallonia,"Atealaan 34A, 2200 Herentals Belgium",Atealaan 34A,2200 Herentals Belgium,2200,Herentals Belgium
CooperLink,http://www.cooperlink.io,Wallonia,"Rue du Bois Saint-Jean 15/1, 4102 Seraing",Rue du Bois Saint-Jean 15/1,4102 Seraing,4102,Seraing
Creax,https://creax.com/,Flanders,"Walle 113G, 8500 Kortrijk",Walle 113G,8500 Kortrijk,8500,Kortrijk
CrossLang,http://www.crosslang.com/en,Flanders,"Kerkstraat 106, 9050 Gent",Kerkstraat 106,9050 Gent,9050,Gent
D-Sight,http://www.d-sight.com/,Brussels,"Witte Patersstraat 4, 1040 Etterbeek",Witte Patersstraat 4,1040 Etterbeek,1040,Etterbeek
DART Consulting,http://dartconsult.com/fr/,Brussels,13 rue du Congrès 1000 Bruxelles,13 rue du Congrès 1000 Bruxelles,None,None,
Data Factory,https://www.datafactory.be/,Brussels,"Sinter-Goedeleplein 5, 1000 Brussel",Sinter-Goedeleplein 5,1000 Brussel,1000,Brussel
Data Minded,http://www.dataminded.be,Flanders,"Vismarkt 17, 3000 Leuven",Vismarkt 17,3000 Leuven,3000,Leuven
Dataa,http://www.dataa.com,Brussels,"Rue Dieudonné Lefèvre 17 1020, Bruxelles Belgium",Rue Dieudonné Lefèvre 17 1020,Bruxelles Belgium,Bruxelles,Belgium
Dataroots,http://dataroots.io,Flanders,"Tiensevest 132, 3000 Leuven",Tiensevest 132,3000 Leuven,3000,Leuven
Datastories,http://datastories.com,Flanders,"Antoine Coppenslaan 27/bus 11, 2300 Turnhout",Antoine Coppenslaan 27/bus 11,2300 Turnhout,2300,Turnhout
Decis,https://www.decis.be/fr/,Wallonia,"Avenue Georges Marchal 18, 1330 Rixensart",Avenue Georges Marchal 18,1330 Rixensart,1330,Rixensart
Deeper Analytics,http://deeperanalytics.be,Wallonia,"7 rue du Pré Saint-Germain, 5310 Eghezée, Belgium",7 rue du Pré Saint-Germain,"5310 Eghezée, Belgium",5310,"Eghezée, Belgium"
DeltaTec,https://www.deltatec.be/,Wallonia,"Rue Gilles Magnée 92/6, 4430 Ans",Rue Gilles Magnée 92/6,4430 Ans,4430,Ans
Dfakto,http://www.dfakto.com,Brussels,"Louis Schmidtlaan 29, 1040 Etterbeek",Louis Schmidtlaan 29,1040 Etterbeek,1040,Etterbeek
Engiforce,http://www.engiforce.com/,Wallonia,"All. Arthur Masson, 1400 Nivelles",All. Arthur Masson,1400 Nivelles,1400,Nivelles
EuraNova,http://euranova.eu,Wallonia,"Rue Emile Francqui 4, 1435 Mont-Saint-Guibert",Rue Emile Francqui 4,1435 Mont-Saint-Guibert,1435,Mont-Saint-Guibert
Faktion,https://www.faktion.com/,Flanders,"Oudeleeuwenrui 39, 2000 Antwerpen",Oudeleeuwenrui 39,2000 Antwerpen,2000,Antwerpen
Fit-For-Purpose Tech.,http://www.fitforpurpose.tech/,Brussels,"Victor Oudartstraat 7, 1030 Schaarbeek",Victor Oudartstraat 7,1030 Schaarbeek,1030,Schaarbeek
Fourcast,https://gcloud.devoteam.com/,Brussels,"26 Rue du Général Mouton-Duvernet, 69003 Lyon, Frankrijk",26 Rue du Général Mouton-Duvernet,"69003 Lyon, Frankrijk",69003,"Lyon, Frankrijk"
Freemind,http://www.freemind-group.com,Brussels,"Buro Design Center, Esplanade 1, 1020 Laeken",Buro Design Center,"Esplanade 1, 1020 Laeken",Esplanade,"1, 1020 Laeken"
GMind analytics,http://www.gmind.net,Wallonia,"Rue du Millénaire 2, 4840 Welkenraedt",Rue du Millénaire 2,4840 Welkenraedt,4840,Welkenraedt
Humain.AI,http://humain.ai,Flanders,"Gaston Crommelaan 8, 9050 Gent, Belgium",Gaston Crommelaan 8,"9050 Gent, Belgium",9050,"Gent, Belgium"
I-Pulses,https://www.i-pulses.be/,Wallonia,"Esplanade de Cuyper Beniest 5, 4671 Blégny",Esplanade de Cuyper Beniest 5,4671 Blégny,4671,Blégny
In The Pocket,http://inthepocket.com,Flanders,"Sassevaartstraat 46/401, 9000 Gent",Sassevaartstraat 46/401,9000 Gent,9000,Gent
Ingestic,https://www.ingestic.be/,Wallonia,"Rue du Manège 18b, 1301 Wavre",Rue du Manège 18b,1301 Wavre,1301,Wavre
Invenira,http://www.invenira.com,Flanders,"Professor Roger Van Overstraetenplein 5, 3000 Leuven",Professor Roger Van Overstraetenplein 5,3000 Leuven,3000,Leuven
Ixor,https://ixor.be/,Flanders,"Schuttersvest 75, 2800 Mechelen",Schuttersvest 75,2800 Mechelen,2800,Mechelen
Kantify,http://kantify.com,Brussels,"Louizalaan 54, 1050 Brussel",Louizalaan 54,1050 Brussel,1050,Brussel
Klarrio,https://klarrio.com/,Flanders,"Plantin en Moretuslei 1A, 2018 Antwerpen",Plantin en Moretuslei 1A,2018 Antwerpen,2018,Antwerpen
Lantana,http://www.lantana.be,Brussels,"Boulevard d'Anvers / Antwerpselaan, 40​,1000 Brussels​, Belgium",Boulevard d'Anvers / Antwerpselaan,"40​,1000 Brussels​, Belgium","40​,1000","Brussels​, Belgium"
ML6,http://ml6.eu,Flanders,"Esplanade Oscar Van De Voorde 1, 9000 Gent",Esplanade Oscar Van De Voorde 1,9000 Gent,9000,Gent
Mobius Design Thinking,https://www.mobius.eu/en/,Flanders,"Kortrijksesteenweg 152, 9830 Sint-Martens-Latem",Kortrijksesteenweg 152,9830 Sint-Martens-Latem,9830,Sint-Martens-Latem
N-side,http://www.n-side.com,Flanders,"Av. Baudouin 1er 25, 1348 Ottignies-Louvain-la-Neuve",Av. Baudouin 1er 25,1348 Ottignies-Louvain-la-Neuve,1348,Ottignies-Louvain-la-Neuve
Odase,http://www.odaseontologies.com,Brussels,"Kazernestraat 45, 1000 Brussel",Kazernestraat 45,1000 Brussel,1000,Brussel
Omina Tech.,http://www.omina.be,Flanders,"Mechelsesteenweg 19, 2018 Antwerpen",Mechelsesteenweg 19,2018 Antwerpen,2018,Antwerpen
Onebonsai,https://onebonsai.com/fr/,Flanders,"Luchthavenlaan 4, 1800 Vilvoorde",Luchthavenlaan 4,1800 Vilvoorde,1800,Vilvoorde
Optimal Computing,https://www.optimalcomputing.be/index.php?company=company,Wallonia,"Rue de la Vignette 36, 7034 Mons",Rue de la Vignette 36,7034 Mons,7034,Mons
Optimal Design,https://optimaldesign.com/OD/company.html,Brussels,"20 rue de l'Industrie, B-1400 Nivelles, Belgium",20 rue de l'Industrie,"B-1400 Nivelles, Belgium",B-1400,"Nivelles, Belgium"
P4A,https://performanceforassets.com/,Wallonia,"Rue des Gerboises 1, 5100 Namur",Rue des Gerboises 1,5100 Namur,5100,Namur
Pegus Digital,https://pegus.digital/,Flanders,"Noordlaan 18, 8520 Kuurne",Noordlaan 18,8520 Kuurne,8520,Kuurne
Proxyclick,https://www.proxyclick.com/fr/?ads_cmpid=10183243095&ads_adid=100705580294&ads_matchtype=e&ads_network=g&ads_creative=438584373765&utm_term=proxyclick&ads_targetid=kwd-333521833842&utm_campaign=&utm_source=adwords&utm_medium=ppc&ttv=2&gclid=Cj0KCQiAoab_BRCxARIsANMx4S4eNWy3CB0MJQS_f507NsZWoBKEntVo3N3ow4gD_75rlWTZ5BN3a5QaAgU_EALw_wcB,Brussels,"Sint-Huibrechtsstraat 17, 1150 Brussel",Sint-Huibrechtsstraat 17,1150 Brussel,1150,Brussel
Radix.ai,http://www.radix.ai,Brussels,"Kantersteen 10, 1000 Brussel",Kantersteen 10,1000 Brussel,1000,Brussel
Reimagine,http://www.reimagine.be,Wallonia,"Witte Patersstraat 4, 1040 Etterbeek",Witte Patersstraat 4,1040 Etterbeek,1040,Etterbeek
Room40,http://roomfourzero.com,Flanders,"Quai sur Meuse 19, B-4000 Liège, Belgium",Quai sur Meuse 19,"B-4000 Liège, Belgium",B-4000,"Liège, Belgium"
Sagacify,http://www.sagacify.com,Brussels,"De Broquevillelaan 12, 1150 Brussels",De Broquevillelaan 12,1150 Brussels,1150,Brussels
Savaco,http://www.savaco.com/,Flanders,"Beneluxpark 19, 8500 Kortrijk",Beneluxpark 19,8500 Kortrijk,8500,Kortrijk
Seen apps,http://www.seen-apps.com,Wallonia,"Rue Marcel de Brogniez 27/1, 4690 Bassenge",Rue Marcel de Brogniez 27/1,4690 Bassenge,4690,Bassenge
Sentiance,https://www.sentiance.com,Flanders,"Korte Lozanastraat 20, 2018 Antwerpen",Korte Lozanastraat 20,2018 Antwerpen,2018,Antwerpen
Skalup,http://www.skalup.com,Wallonia,"Av. Reine Astrid 16, 5000 Namur",Av. Reine Astrid 16,5000 Namur,5000,Namur
Sparkle,https://www.sparkle.tech/,Wallonia,"Rue de la Terre du Prince 17, 7000 Mons",Rue de la Terre du Prince 17,7000 Mons,7000,Mons
Tapptic,http://www.tapptic.com,Brussels,"Terkamerenlaan 28/30, 1000 Brussel",Terkamerenlaan 28/30,1000 Brussel,1000,Brussel
TDSGN,https://www.tdsgn.be/,Wallonia,"Ninoofsesteenweg 211, 1760 Roosdaal, Belgium",Ninoofsesteenweg 211,"1760 Roosdaal, Belgium",1760,"Roosdaal, Belgium"
Tengu,https://www.tengu.io/,Flanders,"Dendermondsesteenweg 50, 9000 Gent",Dendermondsesteenweg 50,9000 Gent,9000,Gent
