Company Name,Link,Region,Address,Street,Location,ZipCode,City,gcode,Latitude,Longitude
AE Projects,https://www.ae.be/en/,Flanders,"Interleuvenlaan 27/B, 3001 Leuven, Belgium",Interleuvenlaan 27/B,3001 Leuven,3001,Leuven,"27b, Interleuvenlaan, Leuvens Haasrode, Leuven, Vlaams-Brabant, Vlaanderen, 3001, België / Belgique / Belgien",50.8502022,4.7342936
Agilytic,http://www.agilytic.be,Wallonia,"Rue F. Dubois 2, 1310 La Hulpe, Belgium",Rue F. Dubois 2,1310 La Hulpe,1310,La Hulpe,,,
Aptus,https://www.aptus.be/#,Flanders,"Meensesteenweg 449, 8501 Kortrijk, Belgium",Meensesteenweg 449,8501 Kortrijk,8501,Kortrijk,"Meensesteenweg, Bissegem, Kortrijk, West-Vlaanderen, Vlaanderen, 8501, België / Belgique / Belgien",50.8240296,3.2279816
Arinti,https://arinti.ai/,Flanders,"Duigemhofstraat 101, 3020 Herent, Belgium",Duigemhofstraat 101,3020 Herent,3020,Herent,"Duigemhofstraat, Herent, Leuven, Vlaams-Brabant, Vlaanderen, 3020, België / Belgique / Belgien",50.9053488,4.6564895
Around Media,https://www.around.media/,Flanders,"Kortrijksesteenweg 1127/0002, 9000 Gent, Belgium",Kortrijksesteenweg 1127/0002,9000 Gent,9000,Gent,"Kortrijksesteenweg, Stationsbuurt Zuid, Gent, Oost-Vlaanderen, Vlaanderen, 9000, België / Belgique / Belgien",51.034379,3.7161662
B12 Consulting,https://www.b12-consulting.com/,Wallonia,"Boucle Odon Godart 2, 1348 Ottignies-Louvain-la-Neuve, Belgium",Boucle Odon Godart 2,1348 Ottignies-Louvain-la-Neuve,1348,Ottignies-Louvain-la-Neuve,"Boucle Odon Godart, Biéreau, Louvain-la-Neuve, Ottignies-Louvain-la-Neuve, Nivelles, Brabant wallon, Wallonie, 1348, België / Belgique / Belgien",50.6612859,4.6205053
Blendr.io,https://www.blendr.io/,Flanders,"Grauwpoort 1, 9000 Gent, Belgium",Grauwpoort 1,9000 Gent,9000,Gent,"iHub, 1, Grauwpoort, Sluizeken, Gent, Oost-Vlaanderen, Vlaanderen, 9000, België / Belgique / Belgien",51.05982315,3.7236211099333816
BOBUP,http://www.bobup.be,Brussels,"Rue de Ransbeek 230, 1120 Bruxelles, Belgium",Rue de Ransbeek 230,1120 Bruxelles,1120,Bruxelles,"230, Rue de Ransbeek - Ransbeekstraat, Neder-Over-Heembeek, Ville de Bruxelles - Stad Brussel, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1120, België / Belgique / Belgien",50.90005575,4.39996650874752
Boltzmann,http://www.boltzmann.be,Flanders,"Gaston Crommenlaan 12, 9031 Gent, Belgium",Gaston Crommenlaan 12,9031 Gent,9031,Gent,"12, Gaston Crommenlaan, Bellevue, Ledeberg, Gent, Oost-Vlaanderen, Vlaanderen, 9050, België / Belgique / Belgien",51.036756499999996,3.7345326111855437
Brainjar,http://www.brainjar.ai,Flanders,"Gaston Geenslaan 11, 3001 Leuven, Belgium",Gaston Geenslaan 11,3001 Leuven,3001,Leuven,"Health House, 11, Gaston Geenslaan, Wetenschapspark Arenberg, Heverlee, Leuven, Vlaams-Brabant, Vlaanderen, 3001, België / Belgique / Belgien",50.8646606,4.6696499
