name,url,logo,categories,creation date,region,street,zip_code,city
ActiveMe,http://activeme.be/,https://community.ai4belgium.be/ai-landscape//landscape_logos/ActiveMe_squared.png,"Social (Education, Civic Tech, Entertainment, etc)",2012.0,Wallonia,Granbonpré,1348,Ottignies-Louvain-la-Neuve
Adunio,http://www.adun.io/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Adunio_squared.png,Sales & Marketing,2019.0,Flanders,Luchthavenlaan 27 / 56,1800,Vilvoorde
Agilytic,http://www.agilytic.be/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Agilytic_logo_w_C_transparent_squared.png,Services,2015.0,Wallonia,Clos de Rambouillet,1410,Waterloo
Aividens,http://www.aividens.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Aividens_squared.png,Legal & FinTech,2019.0,Brussels,Avenue des Volontaires 19,1160,Auderghem
Alberts,http://alberts.be/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Alberts_squared.png,"Agritech, Cleantech & energy",2015.0,Flanders,Nerviërsstraat 49,1730,Asse
AlterEdu,http://www.alteredu.be/,https://community.ai4belgium.be/ai-landscape//landscape_logos/AlterEdu_squared.png,HR & Skills,2019.0,Flanders,Eliaertsstraat 32,2140,Antwerpen
Amethix,http://amethix.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Amethix_squared.png,"RPA, Internal Data & Intelligence",2017.0,Flanders,Rue de l'Enseignement 25,1000,Bruxelles
ammco,https://ammco.be/en/,https://community.ai4belgium.be/ai-landscape//landscape_logos/ammco_squared.png,"Social (Education, Civic Tech, Entertainment, etc)",2011.0,Flanders,Aarschotsesteenweg 147,3111,Rotselaar
Apptweak,http://www.apptweak.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Apptweak_squared.png,Sales & Marketing,2014.0,Brussels,Avenue Louise 235,1050,Ixelles
Araani,http://www.araani.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Araani_squared.png,Image & video processing,2014.0,Flanders,Luipaardstraat(Kor) 12,8500,Kortrijk
Artiq,http://www.artiq.eu/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Artiq_squared.png,Healthcare & biotech,2019.0,Flanders,Diestsepoort 1,3000,Leuven
