name,url,logo,categories,creation date,region,street,zip_code,city,address,lat,lon
ActiveMe,http://activeme.be/,https://community.ai4belgium.be/ai-landscape//landscape_logos/ActiveMe_squared.png,"Social (Education, Civic Tech, Entertainment, etc)",2012.0,Wallonia,Granbonpré,1348,Ottignies-Louvain-la-Neuve,Granbonpré 1348 Ottignies-Louvain-la-Neuve,50.66389,4.6387666
Adunio,http://www.adun.io/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Adunio_squared.png,Sales & Marketing,2019.0,Flanders,Luchthavenlaan 27 / 56,1800,Vilvoorde,Luchthavenlaan 27 / 56 1800 Vilvoorde,50.9220491,4.4432583
Agilytic,http://www.agilytic.be/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Agilytic_logo_w_C_transparent_squared.png,Services,2015.0,Wallonia,Clos de Rambouillet,1410,Waterloo,Clos de Rambouillet 1410 Waterloo,50.7274261,4.3888663
Aividens,http://www.aividens.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Aividens_squared.png,Legal & FinTech,2019.0,Brussels,Avenue des Volontaires 19,1160,Auderghem,Avenue des Volontaires 19 1160 Auderghem,50.8269444,4.4041328
Alberts,http://alberts.be/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Alberts_squared.png,"Agritech, Cleantech & energy",2015.0,Flanders,Nerviërsstraat 49,1730,Asse,Nerviërsstraat 49 1730 Asse,50.9162916,4.1899799
AlterEdu,http://www.alteredu.be/,https://community.ai4belgium.be/ai-landscape//landscape_logos/AlterEdu_squared.png,HR & Skills,2019.0,Flanders,Eliaertsstraat 32,2140,Antwerpen,Eliaertsstraat 32 2140 Antwerpen,51.214229,4.433601
Amethix,http://amethix.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Amethix_squared.png,"RPA, Internal Data & Intelligence",2017.0,Flanders,Rue de l'Enseignement 25,1000,Bruxelles,Rue de l'Enseignement 25 1000 Bruxelles,50.8482971,4.3642444
ammco,https://ammco.be/en/,https://community.ai4belgium.be/ai-landscape//landscape_logos/ammco_squared.png,"Social (Education, Civic Tech, Entertainment, etc)",2011.0,Flanders,Aarschotsesteenweg 147,3111,Rotselaar,Aarschotsesteenweg 147 3111 Rotselaar,50.9466211,4.7496756
Apptweak,http://www.apptweak.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Apptweak_squared.png,Sales & Marketing,2014.0,Brussels,Avenue Louise 235,1050,Ixelles,Avenue Louise 235 1050 Ixelles,,
Araani,http://www.araani.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Araani_squared.png,Image & video processing,2014.0,Flanders,Luipaardstraat(Kor) 12,8500,Kortrijk,Luipaardstraat(Kor) 12 8500 Kortrijk,,
Artiq,http://www.artiq.eu/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Artiq_squared.png,Healthcare & biotech,2019.0,Flanders,Diestsepoort 1,3000,Leuven,Diestsepoort 1 3000 Leuven,50.8829926,4.7141528
Aspect Analytics,http://www.aspect-analytics.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Aspect-Analytics_squared.png,Healthcare & biotech,2018.0,Flanders,C-Mine 12,3600,Genk,C-Mine 12 3600 Genk,50.9827077,5.4920445
Aurelis,https://aurelis.org/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Aurelis_squared.png,Healthcare & biotech,2014.0,Flanders,Kammenstraat 43,2000,Antwerpen,Kammenstraat 43 2000 Antwerpen,51.2171181,4.4010383
