name,url,logo,categories,creation date,region
6Wolves,http://www.6wolves.ai/,https://community.ai4belgium.be/ai-landscape//landscape_logos/6Wolves_squared.png,Healthcare & biotech,2019,Brussels
ActiveMe,http://activeme.be/,https://community.ai4belgium.be/ai-landscape//landscape_logos/ActiveMe_squared.png,"Social (Education, Civic Tech, Entertainment, etc)",2012,Wallonia
Adshot,http://adshot.io/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Adshot_squared.png,Image & video processing,2016,Flanders
Adunio,http://www.adun.io/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Adunio_squared.png,Sales & Marketing,2019,Flanders
Agilytic,http://www.agilytic.be/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Agilytic_logo_w_C_transparent_squared.png,Services,2015,Wallonia
Aividens,http://www.aividens.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Aividens_squared.png,Legal & FinTech,2019,Brussels
Alberts,http://alberts.be/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Alberts_squared.png,"Agritech, Cleantech & energy",2015,Flanders
Allthingsblue,http://allthingsblue.eu/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Allthingsblue_squared.png,HR & Skills,2019,Flanders
AlterEdu,http://www.alteredu.be/,https://community.ai4belgium.be/ai-landscape//landscape_logos/AlterEdu_squared.png,HR & Skills,2019,Flanders
Amethix,http://amethix.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Amethix_squared.png,"RPA, Internal Data & Intelligence",2017,Flanders
AMIA Systems,http://www.amia-systems.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/AMIA-Systems_squared.png,Industrial,2014,Brussels
Amigrow,https://amigrowfarming.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Amigro_squared.png,"Agritech, Cleantech & energy",2018,Flanders
ammco,https://ammco.be/en/,https://community.ai4belgium.be/ai-landscape//landscape_logos/ammco_squared.png,"Social (Education, Civic Tech, Entertainment, etc)",2011,Flanders
